date;ESG;isPartial
2017-02-19;6;False
2017-02-26;0;False
2017-03-05;12;False
2017-03-12;6;False
2017-03-19;7;False
2017-03-26;0;False
2017-04-02;7;False
2017-04-09;0;False
2017-04-16;0;False
2017-04-23;13;False
2017-04-30;0;False
2017-05-07;6;False
2017-05-14;0;False
2017-05-21;0;False
2017-05-28;0;False
2017-06-04;7;False
2017-06-11;13;False
2017-06-18;0;False
2017-06-25;7;False
2017-07-02;7;False
2017-07-09;21;False
2017-07-16;0;False
2017-07-23;14;False
2017-07-30;7;False
2017-08-06;15;False
2017-08-13;23;False
2017-08-20;7;False
2017-08-27;13;False
2017-09-03;71;False
2017-09-10;19;False
2017-09-17;6;False
2017-09-24;6;False
2017-10-01;7;False
2017-10-08;27;False
2017-10-15;7;False
2017-10-22;7;False
2017-10-29;0;False
2017-11-05;0;False
2017-11-12;0;False
2017-11-19;7;False
2017-11-26;26;False
2017-12-03;13;False
2017-12-10;0;False
2017-12-17;14;False
2017-12-24;7;False
2017-12-31;0;False
2018-01-07;19;False
2018-01-14;6;False
2018-01-21;12;False
2018-01-28;6;False
2018-02-04;6;False
2018-02-11;13;False
2018-02-18;0;False
2018-02-25;6;False
2018-03-04;13;False
2018-03-11;0;False
2018-03-18;0;False
2018-03-25;0;False
2018-04-01;0;False
2018-04-08;14;False
2018-04-15;26;False
2018-04-22;6;False
2018-04-29;0;False
2018-05-06;0;False
2018-05-13;6;False
2018-05-20;0;False
2018-05-27;25;False
2018-06-03;6;False
2018-06-10;6;False
2018-06-17;17;False
2018-06-24;0;False
2018-07-01;25;False
2018-07-08;6;False
2018-07-15;13;False
2018-07-22;6;False
2018-07-29;18;False
2018-08-05;13;False
2018-08-12;7;False
2018-08-19;13;False
2018-08-26;0;False
2018-09-02;6;False
2018-09-09;6;False
2018-09-16;6;False
2018-09-23;6;False
2018-09-30;0;False
2018-10-07;7;False
2018-10-14;0;False
2018-10-21;13;False
2018-10-28;7;False
2018-11-04;7;False
2018-11-11;0;False
2018-11-18;6;False
2018-11-25;6;False
2018-12-02;0;False
2018-12-09;6;False
2018-12-16;0;False
2018-12-23;0;False
2018-12-30;7;False
2019-01-06;0;False
2019-01-13;0;False
2019-01-20;18;False
2019-01-27;31;False
2019-02-03;0;False
2019-02-10;6;False
2019-02-17;19;False
2019-02-24;6;False
2019-03-03;0;False
2019-03-10;0;False
2019-03-17;13;False
2019-03-24;0;False
2019-03-31;0;False
2019-04-07;13;False
2019-04-14;0;False
2019-04-21;0;False
2019-04-28;0;False
2019-05-05;0;False
2019-05-12;6;False
2019-05-19;0;False
2019-05-26;0;False
